Date,Open,High,Low,Close,Adj Close,Volume
2019-02-05,50.360001,51.380001,49.419998,49.500000,49.500000,429600
2019-02-06,49.290001,51.150002,49.119999,50.849998,50.849998,489900
2019-02-07,50.990002,51.650002,50.169998,50.750000,50.750000,411800
2019-02-08,50.549999,51.320000,50.000000,50.840000,50.840000,319200
2019-02-11,51.009998,52.060001,51.009998,51.779999,51.779999,410600
2019-02-12,52.060001,52.500000,51.770000,52.250000,52.250000,418700
2019-02-13,52.549999,53.009998,52.200001,52.439999,52.439999,306500
2019-02-14,52.439999,53.169998,52.189999,52.740002,52.740002,370600
2019-02-15,53.000000,53.169998,52.150002,53.020000,53.020000,323000
2019-02-19,52.580002,53.075001,52.509998,52.869999,52.869999,290200
2019-02-20,52.549999,53.049999,52.250000,52.849998,52.849998,282100
2019-02-21,52.900002,53.340000,52.490002,52.939999,52.939999,550100
2019-02-22,52.919998,53.099998,51.880001,52.889999,52.889999,577700
2019-02-25,53.590000,53.919998,51.040001,52.250000,52.250000,2330600
2019-02-26,50.240002,54.049999,49.650002,52.470001,52.470001,3098400
2019-02-27,52.090000,52.320000,49.279999,52.000000,52.000000,965200
2019-02-28,52.000000,55.570000,51.580002,55.139999,55.139999,1246700
2019-03-01,55.080002,55.619999,52.380001,52.470001,52.470001,1442700
2019-03-04,52.500000,53.090000,50.869999,51.529999,51.529999,895400
2019-03-05,51.639999,52.220001,51.340000,51.779999,51.779999,553200
2019-03-06,52.040001,52.450001,51.119999,51.200001,51.200001,437300
2019-03-07,51.060001,51.580002,50.889999,51.310001,51.310001,328900
2019-03-08,50.889999,52.430000,50.770000,52.279999,52.279999,465100
2019-03-11,52.520000,53.000000,52.040001,52.630001,52.630001,412300
2019-03-12,52.939999,53.139999,52.500000,53.009998,53.009998,442300
2019-03-13,53.029999,53.369999,52.705002,53.110001,53.110001,579800
2019-03-14,53.110001,54.930000,52.860001,54.770000,54.770000,841200
2019-03-15,54.860001,55.040001,53.139999,53.349998,53.349998,1039700
2019-03-18,53.380001,55.130001,53.380001,54.889999,54.889999,650700
2019-03-19,55.009998,55.020000,53.820000,54.070000,54.070000,539700
2019-03-20,54.000000,54.860001,53.459999,54.099998,54.099998,556900
2019-03-21,54.230000,56.419998,54.230000,55.230000,55.230000,517900
2019-03-22,55.119999,55.570000,54.250000,54.360001,54.360001,533000
2019-03-25,54.360001,54.500000,53.360001,53.669998,53.669998,444300
2019-03-26,53.930000,55.349998,53.689999,54.970001,54.970001,425900
2019-03-27,55.040001,56.240002,55.029999,56.070000,56.070000,397500
2019-03-28,56.290001,57.294998,55.977001,57.180000,57.180000,509800
2019-03-29,57.700001,59.160000,57.345001,59.150002,59.150002,888300
2019-04-01,59.599998,59.740002,57.570000,58.169998,58.169998,746600
2019-04-02,58.240002,58.889999,57.639999,58.779999,58.779999,344400
2019-04-03,59.279999,59.610001,58.029999,58.459999,58.459999,412300
2019-04-04,58.560001,59.500000,58.369999,59.480000,59.480000,337200
2019-04-05,59.419998,60.389999,59.299999,60.130001,60.130001,640800
2019-04-08,59.980000,60.080002,58.259998,59.040001,59.040001,578300
2019-04-09,58.770000,58.900002,57.560001,57.779999,57.779999,518800
2019-04-10,57.770000,58.639999,57.290001,58.639999,58.639999,493200
2019-04-11,58.689999,59.830002,58.419998,59.720001,59.720001,513700
2019-04-12,60.000000,60.939999,59.430000,60.660000,60.660000,339400
2019-04-15,60.320000,60.360001,59.450001,59.849998,59.849998,539100
2019-04-16,60.020000,60.250000,59.099998,59.490002,59.490002,258100
2019-04-17,58.330002,59.020000,57.209999,58.150002,58.150002,414300
2019-04-18,58.160000,59.990002,58.110001,59.820000,59.820000,352300
2019-04-22,59.820000,60.299999,59.150002,59.590000,59.590000,266200
2019-04-23,59.830002,60.669998,59.820000,60.410000,60.410000,336300
2019-04-24,60.520000,61.580002,60.520000,60.939999,60.939999,466500
2019-04-25,60.880001,61.900002,60.053001,60.849998,60.849998,733200
2019-04-26,61.169998,62.150002,61.169998,61.970001,61.970001,532400
2019-04-29,61.900002,62.244999,61.439999,61.880001,61.880001,516600
2019-04-30,62.200001,62.400002,60.529999,61.299999,61.299999,444300
2019-05-01,61.299999,62.250000,60.889999,61.000000,61.000000,766400
2019-05-02,60.869999,63.049999,60.700001,62.910000,62.910000,2053800
2019-05-03,66.949997,67.019997,59.150002,60.200001,60.200001,4479600
2019-05-06,58.930000,60.490002,58.500000,59.330002,59.330002,1355700
2019-05-07,58.680000,59.430000,56.630001,57.240002,57.240002,943000
2019-05-08,57.330002,59.099998,56.790001,58.919998,58.919998,1097100
2019-05-09,58.389999,60.970001,58.370998,60.049999,60.049999,1068200
2019-05-10,59.790001,60.665001,59.689999,60.389999,60.389999,839900
2019-05-13,59.250000,60.145000,58.709999,60.000000,60.000000,975100
2019-05-14,60.009998,61.000000,59.799999,60.029999,60.029999,736700
2019-05-15,59.720001,61.360001,59.549999,60.820000,60.820000,746900
2019-05-16,60.759998,61.700001,60.759998,60.889999,60.889999,642300
2019-05-17,60.709999,61.799999,59.459999,59.770000,59.770000,556500
2019-05-20,59.340000,59.660000,57.570000,59.290001,59.290001,502000
2019-05-21,59.490002,60.435001,59.080002,59.450001,59.450001,504100
2019-05-22,59.380001,59.683998,58.110001,58.959999,58.959999,615600
2019-05-23,59.160000,59.189999,57.080002,58.990002,58.990002,709700
2019-05-24,59.119999,60.139999,58.625999,59.160000,59.160000,745500
2019-05-28,59.439999,60.119999,58.619999,59.180000,59.180000,709500
2019-05-29,59.009998,59.145000,58.150002,58.840000,58.840000,428700
2019-05-30,58.970001,60.919998,58.639999,60.020000,60.020000,564100
2019-05-31,59.270000,61.369999,59.110001,61.349998,61.349998,596800
2019-06-03,61.180000,61.200001,58.509998,59.650002,59.650002,828000
2019-06-04,60.130001,61.380001,58.849998,60.990002,60.990002,595400
2019-06-05,61.189999,62.470001,60.810001,61.110001,61.110001,647300
2019-06-06,61.000000,61.939999,60.279999,61.799999,61.799999,532800
2019-06-07,62.320000,64.190002,62.320000,63.680000,63.680000,852300
2019-06-10,64.080002,65.300003,64.028999,65.199997,65.199997,525400
2019-06-11,65.360001,66.000000,65.010002,65.940002,65.940002,500100
2019-06-12,65.470001,66.900002,65.000000,66.410004,66.410004,336500
2019-06-13,67.000000,68.339996,66.650002,68.040001,68.040001,609200
2019-06-14,67.910004,68.500000,66.500000,67.040001,67.040001,421100
2019-06-17,67.120003,67.760002,66.480003,67.510002,67.510002,490200
2019-06-18,67.980003,68.029999,65.900002,66.260002,66.260002,419000
2019-06-19,66.250000,66.275002,64.900002,66.160004,66.160004,507700
2019-06-20,66.489998,67.739998,66.129997,67.320000,67.320000,463900
2019-06-21,67.339996,67.839996,66.349998,66.750000,66.750000,471800
2019-06-24,67.000000,67.724998,66.320000,66.720001,66.720001,558700
2019-06-25,67.559998,69.000000,66.620003,66.800003,66.800003,874500
2019-06-26,67.320000,67.349998,66.400002,67.110001,67.110001,436300
2019-06-27,67.250000,70.315002,67.250000,69.959999,69.959999,889900
2019-06-28,70.180000,72.400002,69.610001,72.199997,72.199997,1557100
2019-07-01,72.769997,73.320000,68.230003,68.500000,68.500000,1105300
2019-07-02,68.400002,70.059998,68.099998,69.980003,69.980003,409400
2019-07-03,70.290001,72.339996,69.833000,72.120003,72.120003,479500
2019-07-05,71.800003,73.800003,71.089996,73.570000,73.570000,706000
2019-07-08,73.269997,73.430000,70.919998,71.699997,71.699997,729000
2019-07-09,71.510002,73.279999,71.279999,73.250000,73.250000,653700
2019-07-10,73.279999,73.360001,71.660004,73.120003,73.120003,922600
2019-07-11,73.480003,75.279999,72.800003,75.230003,75.230003,739400
2019-07-12,75.260002,75.639999,74.139999,75.480003,75.480003,539400
2019-07-15,75.900002,76.489998,74.519997,75.010002,75.010002,524200
2019-07-16,74.709999,74.839996,73.070000,73.430000,73.430000,559600
2019-07-17,74.010002,74.129997,72.800003,73.900002,73.900002,407300
2019-07-18,73.690002,74.349998,73.330002,73.930000,73.930000,398400
2019-07-19,73.849998,74.760002,73.695000,74.169998,74.169998,438200
2019-07-22,74.559998,75.349998,74.120003,74.209999,74.209999,505700
2019-07-23,74.510002,74.760002,73.050003,73.980003,73.980003,753900
2019-07-24,74.019997,75.510002,74.019997,74.860001,74.860001,500500
2019-07-25,74.830002,75.470001,74.209999,74.629997,74.629997,688200
2019-07-26,74.940002,75.599998,73.500000,74.139999,74.139999,719800
2019-07-29,75.169998,76.139999,74.220001,74.760002,74.760002,883500
2019-07-30,74.900002,76.380997,74.519997,76.099998,76.099998,928300
2019-07-31,75.769997,76.440002,74.120003,74.660004,74.660004,801700
2019-08-01,75.139999,76.809998,74.184998,75.050003,75.050003,821000
2019-08-02,74.839996,76.010002,74.690002,75.300003,75.300003,747500
2019-08-05,74.839996,75.864998,72.419998,73.339996,73.339996,1455000
2019-08-06,75.989998,87.000000,75.709999,86.720001,86.720001,7538434
